price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
240.43,241.5,236.61,236.8,9459.77890536,3450,2015-09-29T23:58:40.0000000Z,2015-09-29T00:00:12.0000000Z,2015-09-29T00:00:00.000000Z,2015-09-30T00:00:00.0000000Z,3506719013.7580805
236.9,238.78,235.11,236.49,5152.915200889999,1674,2015-09-30T23:58:17.0000000Z,2015-09-30T00:00:04.0000000Z,2015-09-30T00:00:00.000000Z,2015-10-01T00:00:00.0000000Z,3477603310.474964
236.72,240.09,236.19,238.48,6107.4309694700005,2576,2015-10-01T23:58:19.0000000Z,2015-10-01T00:03:46.0000000Z,2015-10-01T00:00:00.000000Z,2015-10-02T00:00:00.0000000Z,3476356613.237465
238.25,240.0,237.33,237.86,5607.98936459,1990,2015-10-02T23:59:41.0000000Z,2015-10-02T00:00:17.0000000Z,2015-10-02T00:00:00.000000Z,2015-10-03T00:00:00.0000000Z,3490554732.305618
237.84,241.11,237.68,239.79,6221.097362500001,1901,2015-10-03T23:59:41.0000000Z,2015-10-03T00:00:56.0000000Z,2015-10-03T00:00:00.000000Z,2015-10-04T00:00:00.0000000Z,3497561057.79215
239.73,240.93,239.29,239.5,2081.9424153699997,1034,2015-10-04T23:59:41.0000000Z,2015-10-04T00:03:34.0000000Z,2015-10-04T00:00:00.000000Z,2015-10-05T00:00:00.0000000Z,3520688101.267523
239.49,242.89,236.24,242.0,12198.93702028,3599,2015-10-05T23:59:50.0000000Z,2015-10-05T00:01:32.0000000Z,2015-10-05T00:00:00.000000Z,2015-10-06T00:00:00.0000000Z,3521312454.214161
242.01,249.01,241.51,247.36,16277.349544899998,5063,2015-10-06T23:59:41.0000000Z,2015-10-06T00:00:15.0000000Z,2015-10-06T00:00:00.000000Z,2015-10-07T00:00:00.0000000Z,3549886372.944485
247.35,247.93,243.5,244.0,8806.62652877,3519,2015-10-07T23:59:57.0000000Z,2015-10-07T00:01:02.0000000Z,2015-10-07T00:00:00.000000Z,2015-10-08T00:00:00.0000000Z,3632734969.815203
244.0,245.65,242.62,243.0,6046.70528354,2164,2015-10-08T23:59:41.0000000Z,2015-10-08T00:00:04.0000000Z,2015-10-08T00:00:00.000000Z,2015-10-09T00:00:00.0000000Z,3583051659.9917455
242.99,245.45,242.63,244.82,3572.4892621500003,1635,2015-10-09T23:49:58.0000000Z,2015-10-09T00:01:02.0000000Z,2015-10-09T00:00:00.000000Z,2015-10-10T00:00:00.0000000Z,3578097591.7327104
244.93,246.41,243.5,246.01,4196.526677409999,1377,2015-10-10T23:59:41.0000000Z,2015-10-10T00:02:26.0000000Z,2015-10-10T00:00:00.000000Z,2015-10-11T00:00:00.0000000Z,3599776994.139953
245.93,248.73,243.75,247.99,4868.9417018899985,1902,2015-10-11T23:59:59.0000000Z,2015-10-11T00:01:32.0000000Z,2015-10-11T00:00:00.000000Z,2015-10-12T00:00:00.0000000Z,3613537023.2746406
247.92,248.45,245.21,246.17,5203.509982029999,2126,2015-10-12T23:59:53.0000000Z,2015-10-12T00:00:04.0000000Z,2015-10-12T00:00:00.000000Z,2015-10-13T00:00:00.0000000Z,3644843416.0596795
246.15,253.43,244.0,251.25,16746.31969231,5070,2015-10-13T23:59:51.0000000Z,2015-10-13T00:04:41.0000000Z,2015-10-13T00:00:00.000000Z,2015-10-14T00:00:00.0000000Z,3633503334.3753757
251.08,255.95,250.1,253.5,10143.266936650001,3537,2015-10-14T23:59:51.0000000Z,2015-10-14T00:00:05.0000000Z,2015-10-14T00:00:00.000000Z,2015-10-15T00:00:00.0000000Z,3694375866.9788475
253.5,257.5,253.44,255.19,10462.870492319998,3485,2015-10-15T23:59:40.0000000Z,2015-10-15T00:01:40.0000000Z,2015-10-15T00:00:00.000000Z,2015-10-16T00:00:00.0000000Z,3724497712.850582
255.19,267.83,254.91,263.45,21966.84227808,7024,2015-10-16T23:59:50.0000000Z,2015-10-16T00:00:55.0000000Z,2015-10-16T00:00:00.000000Z,2015-10-17T00:00:00.0000000Z,3753353266.4267507
263.47,275.19,258.32,272.9,42840.66767715,10866,2015-10-17T23:59:50.0000000Z,2015-10-17T00:00:43.0000000Z,2015-10-17T00:00:00.000000Z,2015-10-18T00:00:00.0000000Z,3902810935.4300904
272.9,274.66,263.3,265.01,15347.19309163,5207,2015-10-18T23:59:50.0000000Z,2015-10-18T00:00:02.0000000Z,2015-10-18T00:00:00.000000Z,2015-10-19T00:00:00.0000000Z,4043033334.509097
265.29,268.28,262.35,265.1,10903.419168969998,3938,2015-10-19T23:59:41.0000000Z,2015-10-19T00:00:36.0000000Z,2015-10-19T00:00:00.000000Z,2015-10-20T00:00:00.0000000Z,3883588093.337383
265.02,273.97,264.39,270.97,14439.64408514,4155,2015-10-20T23:58:11.0000000Z,2015-10-20T00:00:25.0000000Z,2015-10-20T00:00:00.000000Z,2015-10-21T00:00:00.0000000Z,3907344006.184815
270.99,272.28,264.1,267.8,10617.446295939999,3907,2015-10-21T23:59:36.0000000Z,2015-10-21T00:00:05.0000000Z,2015-10-21T00:00:00.000000Z,2015-10-22T00:00:00.0000000Z,3993797535.2416725
267.99,279.97,267.3,275.83,27240.769584499994,6746,2015-10-22T23:59:58.0000000Z,2015-10-22T00:00:06.0000000Z,2015-10-22T00:00:00.000000Z,2015-10-23T00:00:00.0000000Z,3956462453.3963947
275.83,280.9,275.15,279.21,15857.563337830003,5158,2015-10-23T23:59:42.0000000Z,2015-10-23T00:00:32.0000000Z,2015-10-23T00:00:00.000000Z,2015-10-24T00:00:00.0000000Z,4076576997.335262
279.04,284.47,279.0,284.19,13934.58656724,4891,2015-10-24T23:59:48.0000000Z,2015-10-24T00:01:20.0000000Z,2015-10-24T00:00:00.000000Z,2015-10-25T00:00:00.0000000Z,4116935898.079461
284.19,295.99,281.2,284.79,40017.6507969,9270,2015-10-25T23:59:20.0000000Z,2015-10-25T00:01:18.0000000Z,2015-10-25T00:00:00.000000Z,2015-10-26T00:00:00.0000000Z,4170354377.773266
284.7,287.92,282.25,287.22,17157.55627524,4370,2015-10-26T23:59:30.0000000Z,2015-10-26T00:00:03.0000000Z,2015-10-26T00:00:00.000000Z,2015-10-27T00:00:00.0000000Z,4215590176.0336494
287.22,298.86,286.71,295.29,26822.842290729997,7562,2015-10-27T23:59:55.0000000Z,2015-10-27T00:03:10.0000000Z,2015-10-27T00:00:00.000000Z,2015-10-28T00:00:00.0000000Z,4233002636.064128
295.29,307.99,295.29,304.5,35610.639704869995,9221,2015-10-28T23:59:54.0000000Z,2015-10-28T00:00:08.0000000Z,2015-10-28T00:00:00.000000Z,2015-10-29T00:00:00.0000000Z,4336720899.428796
304.5,321.53,301.5,314.88,51213.843312280005,14115,2015-10-29T23:59:33.0000000Z,2015-10-29T00:00:01.0000000Z,2015-10-29T00:00:00.000000Z,2015-10-30T00:00:00.0000000Z,4511002767.293443
314.23,336.0,313.82,328.19,62886.20043758999,20729,2015-10-30T23:59:49.0000000Z,2015-10-30T00:01:14.0000000Z,2015-10-30T00:00:00.000000Z,2015-10-31T00:00:00.0000000Z,4642094810.882263
328.2,335.87,307.2,316.0,42942.31178779,13350,2015-10-31T23:59:00.0000000Z,2015-10-31T00:00:01.0000000Z,2015-10-31T00:00:00.000000Z,2015-11-01T00:00:00.0000000Z,4884698078.721711
316.0,333.49,313.6,330.23,25673.087017650007,8794,2015-11-01T23:59:52.0000000Z,2015-11-01T00:00:00.0000000Z,2015-11-01T00:00:00.000000Z,2015-11-02T00:00:00.0000000Z,4726592342.476601
330.23,373.12,326.8,365.33,71218.14798775,20160,2015-11-02T23:59:59.0000000Z,2015-11-02T00:00:35.0000000Z,2015-11-02T00:00:00.000000Z,2015-11-03T00:00:00.0000000Z,4876107297.538914
365.08,423.88,361.11,405.0,171790.92793274,43172,2015-11-03T23:59:57.0000000Z,2015-11-03T00:00:04.0000000Z,2015-11-03T00:00:00.000000Z,2015-11-04T00:00:00.0000000Z,5374647633.136682
404.98,504.0,366.66,409.23,274465.72823393997,72800,2015-11-04T23:59:58.0000000Z,2015-11-04T00:00:01.0000000Z,2015-11-04T00:00:00.000000Z,2015-11-05T00:00:00.0000000Z,5939691797.621536
409.23,449.95,370.0,387.14,157867.94578265,44767,2015-11-05T23:59:56.0000000Z,2015-11-05T00:00:00.0000000Z,2015-11-05T00:00:00.000000Z,2015-11-06T00:00:00.0000000Z,6052761410.015995
387.93,396.78,351.2,375.56,106625.95554309999,34121,2015-11-06T23:59:32.0000000Z,2015-11-06T00:00:03.0000000Z,2015-11-06T00:00:00.000000Z,2015-11-07T00:00:00.0000000Z,5762043301.637407
375.56,392.23,371.32,384.99,34416.71346292999,13368,2015-11-07T23:59:55.0000000Z,2015-11-07T00:00:10.0000000Z,2015-11-07T00:00:00.000000Z,2015-11-08T00:00:00.0000000Z,5521311317.116953
384.28,390.33,365.56,374.1,30831.923010959996,12669,2015-11-08T23:59:59.0000000Z,2015-11-08T00:00:02.0000000Z,2015-11-08T00:00:00.000000Z,2015-11-09T00:00:00.0000000Z,5703519450.145432
